latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-12.607,131.486,319.4,1.5,1.2,2015-08-05, 0150,T,51,5.0,305.3,17.2
-12.655,131.677,327.7,1.5,1.2,2015-08-05, 0150,T,28,5.0,301.7,42.2
-12.677,131.847,319,1.6,1.2,2015-08-05, 0150,T,48,5.0,306.3,13.8
-12.664,131.661,323.4,1.5,1.2,2015-08-05, 0150,T,36,5.0,301,34.4
-12.651,131.543,329,1.5,1.2,2015-08-05, 0150,T,80,5.0,306.1,39.9
-12.667,131.669,327.2,1.5,1.2,2015-08-05, 0150,T,44,5.0,302.8,41.3
-12.662,131.542,323.4,1.5,1.2,2015-08-05, 0150,T,58,5.0,306.5,25.5
-12.663,131.556,330.7,1.5,1.2,2015-08-05, 0150,T,83,5.0,306.3,45
-12.68,131.681,328.6,1.5,1.2,2015-08-05, 0150,T,21,5.0,303.4,41.9
-12.681,131.695,335.5,1.5,1.2,2015-08-05, 0150,T,63,5.0,306.5,60.7
-12.722,132.013,320.5,1.6,1.3,2015-08-05, 0150,T,62,5.0,308.7,19.1
-12.724,132.028,318.5,1.6,1.3,2015-08-05, 0150,T,35,5.0,308.2,16.5
-12.692,131.694,337.8,1.5,1.2,2015-08-05, 0150,T,85,5.0,303.2,68.5
-12.694,131.708,360.2,1.5,1.2,2015-08-05, 0150,T,100,5.0,308.7,160.1
-12.687,131.567,328.7,1.5,1.2,2015-08-05, 0150,T,35,5.0,306.7,33.2
-12.709,131.735,322.2,1.6,1.2,2015-08-05, 0150,T,39,5.0,306.1,24.3
-12.648,131.191,387.2,1.4,1.2,2015-08-05, 0150,T,100,5.0,312.6,300.2
-12.65,131.204,347.1,1.4,1.2,2015-08-05, 0150,T,94,5.0,308.4,86.7
-12.826,132.555,322,1.8,1.3,2015-08-05, 0150,T,62,5.0,303.6,33.7
-12.661,131.202,328.4,1.4,1.2,2015-08-05, 0150,T,61,5.0,307.8,29.6
-12.712,131.592,326.9,1.5,1.2,2015-08-05, 0150,T,39,5.0,307,33.4
-12.84,132.569,341.2,1.8,1.3,2015-08-05, 0150,T,91,5.0,307.9,103.4
-12.842,132.586,323.5,1.8,1.3,2015-08-05, 0150,T,59,5.0,305.8,36.1
-12.839,132.47,317.6,1.8,1.3,2015-08-05, 0150,T,58,5.0,305.7,20.1
-12.841,132.486,320.6,1.8,1.3,2015-08-05, 0150,T,71,5.0,305,29.3
-12.729,131.547,327.8,1.5,1.2,2015-08-05, 0150,T,81,5.0,307.5,31
-12.742,131.56,339,1.5,1.2,2015-08-05, 0150,T,89,5.0,307.4,64.5
-12.743,131.574,327.4,1.5,1.2,2015-08-05, 0150,T,52,5.0,306.1,32.9
-12.69,131.219,323.2,1.4,1.2,2015-08-05, 0150,T,21,5.0,307,19.2
-12.731,131.541,324.4,1.5,1.2,2015-08-05, 0150,T,45,5.0,307,23.8
-12.733,131.555,327.5,1.5,1.2,2015-08-05, 0150,T,26,5.0,308.2,30.1
-12.745,131.567,331.6,1.5,1.2,2015-08-05, 0150,T,39,5.0,306.4,43.6
-12.997,131.053,322.7,1.4,1.2,2015-08-05, 0150,T,75,5.0,308.6,20.1
-13.487,134.513,315.8,2.6,1.5,2015-08-05, 0150,T,60,5.0,302.4,38.3
-13.493,134.506,317.1,2.6,1.5,2015-08-05, 0150,T,67,5.0,303,45.6
-13.207,131.874,333.2,1.6,1.2,2015-08-05, 0150,T,85,5.0,308.6,53.5
-13.209,131.889,328.5,1.6,1.3,2015-08-05, 0150,T,81,5.0,306.3,40.7
-13.361,131.826,323.8,1.6,1.2,2015-08-05, 0150,T,77,5.0,305.2,31
-13.59,132.188,321.6,1.7,1.3,2015-08-05, 0150,T,34,5.0,307,26.3
-13.599,132.171,323.9,1.7,1.3,2015-08-05, 0150,T,62,5.0,305.2,31.9
-13.561,131.61,316,1.6,1.2,2015-08-05, 0150,T,40,5.0,304.6,13.7
-13.561,131.604,317.6,1.6,1.2,2015-08-05, 0150,T,38,5.0,305.7,17.8
-13.668,131.997,323.8,1.7,1.3,2015-08-05, 0150,T,74,5.0,308.3,24.7
-13.682,132.011,323.9,1.7,1.3,2015-08-05, 0150,T,77,5.0,308.6,24.8
-13.699,131.962,327.7,1.7,1.3,2015-08-05, 0150,T,81,5.0,308.5,36.6
-13.697,131.957,325.7,1.7,1.3,2015-08-05, 0150,T,59,5.0,308.8,29.6
-13.763,132.026,320.5,1.7,1.3,2015-08-05, 0150,T,52,5.0,306.8,21.1
-13.781,132.071,324.4,1.7,1.3,2015-08-05, 0150,T,77,5.0,307.1,31.4
-13.644,130.78,320.1,1.4,1.2,2015-08-05, 0150,T,40,5.0,303.6,18.1
-13.882,130.215,321.7,1.3,1.1,2015-08-05, 0150,T,72,5.0,296.8,25.3
-13.886,130.239,317.8,1.3,1.1,2015-08-05, 0150,T,55,5.0,299,16.4
-14.137,131.907,323.6,1.7,1.3,2015-08-05, 0150,T,71,5.0,307.4,31.6
-13.955,130.223,344,1.3,1.1,2015-08-05, 0150,T,92,5.0,299.9,75.8
-13.956,130.235,331,1.3,1.1,2015-08-05, 0150,T,84,5.0,300.7,43.1
