latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.89,-86.244,307.4,0.3,0.6,2016-06-21,0655,N,nominal,1.0NRT,287.3,0,N
40.893,-77.711,298,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,255.9,0,N
41.682,-87.427,302,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.2,0,N
41.682,-87.422,302.6,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.1,0,N
41.682,-87.418,314.7,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,292.3,0,N
41.677,-87.432,302.8,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.8,0,N
41.677,-87.418,308.2,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.5,0,N
41.673,-87.46,309.3,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.9,0,N
41.673,-87.455,313.8,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290,0,N
41.671,-87.423,310.2,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.7,0,N
41.669,-87.488,303.2,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.3,0,N
41.667,-87.456,304.9,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.4,0,N
41.667,-87.451,303.8,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.8,0,N
41.667,-87.447,302.2,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.2,0,N
41.661,-87.433,321.1,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.4,0,N
41.663,-87.479,302.8,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.5,0,N
41.661,-87.442,302.6,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.1,0,N
41.661,-87.429,311.9,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.7,0,N
41.661,-87.424,319.5,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.9,0,N
41.646,-87.135,301.7,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.4,0,N
41.641,-87.14,333.5,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,292.6,0,N
41.641,-87.135,321.8,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,292.5,0,N
41.641,-87.131,307.1,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.9,0,N
41.636,-87.145,333.5,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,292,0,N
41.636,-87.14,336.3,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,292.4,0,N
41.636,-87.136,325.6,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.5,0,N
41.636,-87.131,329.1,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.3,0,N
41.644,-87.408,305.9,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290,0,N
41.638,-87.408,301.2,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,288.2,0,N
41.626,-87.146,312.4,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,292,0,N
40.471,-75.893,307,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,291.7,0,N
41.643,-87.139,333.6,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,292.2,0,N
41.659,-87.442,302.4,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.2,0,N
41.659,-87.433,304.3,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.7,0,N
41.659,-87.424,308.4,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.2,0,N
41.643,-87.135,312.2,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.5,0,N
41.638,-87.144,327.9,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291,0,N
41.638,-87.14,342.1,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,293.3,0,N
41.637,-87.135,333.4,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.9,0,N
41.637,-87.131,333.6,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.9,0,N
41.633,-87.145,302,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.2,0,N
41.632,-87.136,302.3,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.2,0,N
41.641,-87.408,313.7,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.1,0,N
41.627,-87.145,310.8,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.8,0,N
41.629,-87.368,321.2,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.2,0,N
41.629,-87.386,299.9,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,287.9,0,N
41.629,-87.377,308.5,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290,0,N
41.629,-87.372,304.9,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.1,0,N
41.627,-87.346,306.2,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,288.8,0,N
41.623,-87.364,301.2,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,288.4,0,N
41.622,-87.35,299.6,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289,0,N
41.622,-87.342,299.5,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,288.7,0,N
41.621,-87.337,301.4,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.9,0,N
41.621,-87.333,305.5,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291,0,N
41.616,-87.329,327.3,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,293.9,0,N
41.616,-87.333,302.6,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.6,0,N
41.646,-88.054,302.6,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,290.5,0,N
41.369,-84.925,305.6,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,289.4,0,N
41.368,-84.918,317.3,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,290.1,0,N
41.364,-84.919,302.8,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,288.6,0,N
40.328,-76.559,309.8,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,290.7,0,N
41.414,-88.184,306.6,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,291.5,0,N
40.231,-76.839,312.9,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,284.7,0,N
41.121,-85.35,311.2,0.6,0.5,2016-06-21,0655,N,nominal,1.0NRT,290.1,0,N
40.758,-81.433,321.5,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,290.5,0,N
40.755,-81.44,323.4,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,291,0,N
40.758,-81.434,327.3,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,291,0,N
40.755,-81.441,322.4,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,291.1,0,N
41.179,-87.859,311.7,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,286.7,0,N
39.848,-75.25,303.7,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,291.1,0,N
41.065,-87.89,303.9,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,287.8,0,N
41.065,-87.885,303,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,287.3,0,N
40.453,-80.283,306.4,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,290,0,N
39.964,-76.598,300.4,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,284.9,0,N
40.392,-79.857,304.7,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,286,0,N
39.939,-76.817,316.5,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,286.6,0,N
40.722,-84.126,306.9,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,289.3,0,N
40.929,-87.343,302,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,288.1,0,N
40.734,-86.434,317,0.3,0.6,2016-06-21,0655,N,nominal,1.0NRT,289.9,0,N
39.792,-77.8,308.3,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,291.3,0,N
39.562,-77.172,298.5,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,272.4,0,N
39.958,-81.397,301.1,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.5,0,N
39.527,-78.279,323.8,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,293.3,0,N
39.433,-77.979,302.4,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,287.7,0,N
39.788,-81.321,318.6,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.2,0,N
39.64,-80.01,303.8,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.3,0,N
39.64,-80.011,303.2,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.4,0,N
39.786,-81.316,326.6,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.9,0,N
39.977,-86.836,311.1,0.3,0.6,2016-06-21,0655,N,nominal,1.0NRT,277.2,0,N
